message_metric,music_metric,correlation,p_value
vader_negative_median,acousticness_q1,-0.019071884090844662,0.5592149540218408
vader_negative_median,acousticness_median,-0.027934075123040133,0.3922910730707961
vader_negative_median,acousticness_q3,-0.013672061187925896,0.6754797876839468
vader_negative_median,acousticness_range,0.029410444784216595,0.36774668560461254
vader_negative_median,acousticness_iqr,-0.002890115225764356,0.929486011156042
vader_negative_median,acousticness_std_dev,0.010371866756459711,0.7528686023930995
vader_negative_median,acousticness_min,-0.018976241078504312,0.5611874058735977
vader_negative_median,acousticness_max,0.026282150828644463,0.42089913222422964
vader_negative_median,acousticness_mean,-0.014696701520382374,0.6526981241813811
vader_negative_median,acousticness_skewness,0.00014331257088827742,0.9965439716135114
vader_negative_median,danceability_q1,-0.023268143939459727,0.4761335360514573
vader_negative_median,danceability_median,-0.013550991491265124,0.67819185618867
vader_negative_median,danceability_q3,0.008867172507075095,0.7860019178469143
vader_negative_median,danceability_range,0.07030089517493551,0.031147469370441976
vader_negative_median,danceability_iqr,0.0532197331958819,0.10295982020757675
vader_negative_median,danceability_std_dev,0.057702849575063477,0.07958462410105707
vader_negative_median,danceability_min,-0.06282875394163177,0.0541502541011445
vader_negative_median,danceability_max,0.052467405590526685,0.10792563868479087
vader_negative_median,danceability_mean,-0.013580106397135477,0.6775392746273259
vader_negative_median,danceability_skewness,-0.003547371967389918,0.9146170732845211
vader_negative_median,energy_q1,0.002403109067550662,0.9413445863821841
vader_negative_median,energy_median,0.02039950925205116,0.5321877296915697
vader_negative_median,energy_q3,0.028152652795814918,0.38859596945405483
vader_negative_median,energy_range,0.07627662000296709,0.01934095991956948
vader_negative_median,energy_iqr,0.03193183567280781,0.3280949699828747
vader_negative_median,energy_std_dev,0.053670695048139545,0.10301388438391687
vader_negative_median,energy_min,-0.07612744796483507,0.019579715769663043
vader_negative_median,energy_max,0.04526215869379094,0.16557119415421914
vader_negative_median,energy_mean,0.007866041065791356,0.8096705389502457
vader_negative_median,energy_skewness,-0.03861869836481227,0.24294656334546602
vader_negative_median,liveness_q1,-0.01868415905671327,0.5672317504507229
vader_negative_median,liveness_median,-0.019776646043705024,0.5447851084371221
vader_negative_median,liveness_q3,0.030667739281586063,0.3476152900155332
vader_negative_median,liveness_range,0.05882529288995427,0.07143364987118514
vader_negative_median,liveness_iqr,0.04095230508509119,0.2096859421264242
vader_negative_median,liveness_std_dev,0.06346752240474604,0.05378318291889721
vader_negative_median,liveness_min,-0.03953092557702016,0.2259506550106283
vader_negative_median,liveness_max,0.058995221082927,0.07061781252196843
vader_negative_median,liveness_mean,0.0283658268622032,0.3850126718524069
vader_negative_median,liveness_skewness,0.02180139967325699,0.5098910032977255
vader_negative_median,loudness_q1,-0.0070616760146818445,0.8288150966590861
vader_negative_median,loudness_median,0.007844642243933123,0.8101784333060761
vader_negative_median,loudness_q3,0.013045908019357629,0.6895507913844544
vader_negative_median,loudness_range,0.050792227584306855,0.11966228905115114
vader_negative_median,loudness_iqr,0.020378745842633262,0.5326052835668547
vader_negative_median,loudness_std_dev,0.030791136615639692,0.34982735457994607
vader_negative_median,loudness_min,-0.05329257753578062,0.10248879749343606
vader_negative_median,loudness_max,0.014302135924760524,0.661434040894602
vader_negative_median,loudness_mean,-0.0028554080612953705,0.9303306430279543
vader_negative_median,loudness_skewness,-0.04189306049574644,0.2052486693787603
vader_negative_median,mode_q1,-0.0039812094341202045,0.9029785026008523
vader_negative_median,mode_median,0.04362169088621281,0.1814603060285476
vader_negative_median,mode_q3,0.032703644724545025,0.3165327046170108
vader_negative_median,mode_range,0.03515429646118052,0.281610295081084
vader_negative_median,mode_iqr,0.021277759813477133,0.5146789344422091
vader_negative_median,mode_std_dev,0.01949313478328411,0.5539884538269926
vader_negative_median,mode_min,-0.03393577045428921,0.2986345668604079
vader_negative_median,mode_max,0.014759765403330087,0.6513062099465742
vader_negative_median,mode_mean,0.03949480082073887,0.22637542672561664
vader_negative_median,mode_skewness,-0.05384177543901084,0.10341805480693404
vader_negative_median,speechiness_q1,-0.028371199790462622,0.3849226182594362
vader_negative_median,speechiness_median,-0.01767073310127402,0.5884415671190595
vader_negative_median,speechiness_q3,-0.003671283298738147,0.9104983096101272
vader_negative_median,speechiness_range,0.055585267889742336,0.08851916619888589
vader_negative_median,speechiness_iqr,0.007553782787718746,0.81708972130441
